Target: HSEYE5

Observer: Bahrain
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
27 Apr 2022 11:59:28.000    27 Apr 2022 12:00:07.777      39.776678674    
27 Apr 2022 13:31:08.527    27 Apr 2022 13:39:07.744      479.21707544    
27 Apr 2022 20:10:19.251    27 Apr 2022 20:13:45.850      206.59906893    
27 Apr 2022 21:45:54.948    27 Apr 2022 21:54:03.260      488.31249137    
28 Apr 2022 12:52:02.297    28 Apr 2022 13:00:11.906      489.60847892    
28 Apr 2022 14:33:03.236    28 Apr 2022 14:35:14.539      131.30312569    
28 Apr 2022 21:06:56.541    28 Apr 2022 21:15:00.314      483.77338182    
28 Apr 2022 22:46:40.310    28 Apr 2022 22:49:35.496      175.18620151    
29 Apr 2022 12:13:02.397    29 Apr 2022 12:21:10.407      488.01003154    
29 Apr 2022 13:52:44.287    29 Apr 2022 13:57:10.813      266.52638703    
29 Apr 2022 20:28:01.568    29 Apr 2022 20:35:49.005      467.43673895    
29 Apr 2022 22:06:30.954    29 Apr 2022 22:11:52.676      321.72228276    
30 Apr 2022 11:34:09.296    30 Apr 2022 11:42:02.563      473.26665698    
30 Apr 2022 13:12:54.171    30 Apr 2022 13:18:39.991      345.81975157    
30 Apr 2022 19:49:10.030    30 Apr 2022 19:56:29.102      439.07173552    
30 Apr 2022 21:26:54.066    30 Apr 2022 21:33:33.709      399.64299143    
01 May 2022 10:55:24.097    01 May 2022 11:02:47.050      442.95277682    
01 May 2022 12:33:16.517    01 May 2022 12:39:58.314      401.79726837    
01 May 2022 19:10:22.450    01 May 2022 19:16:59.858      397.40784054    
01 May 2022 20:47:30.163    01 May 2022 20:54:57.854      447.69142417    
02 May 2022 10:16:49.144    02 May 2022 10:23:21.310      392.16525023    
02 May 2022 11:53:47.527    02 May 2022 12:01:09.419      441.89182213    
02 May 2022 18:31:40.321    02 May 2022 18:37:19.576      339.25521076    
02 May 2022 20:08:14.025    02 May 2022 20:16:10.108      476.08280074    
03 May 2022 09:38:30.171    03 May 2022 09:43:39.399      309.22798037    
03 May 2022 11:14:25.705    03 May 2022 11:22:14.619      468.91458625    
03 May 2022 17:53:07.837    03 May 2022 17:57:23.887      256.04999891    
03 May 2022 19:29:03.334    03 May 2022 19:37:12.561      489.22682960    
04 May 2022 09:00:52.633    04 May 2022 09:03:15.654      143.02089494    
04 May 2022 10:35:10.422    04 May 2022 10:43:14.346      483.92455186    
04 May 2022 17:15:06.865    04 May 2022 17:16:50.784      103.91899572    
04 May 2022 18:49:56.893    04 May 2022 18:58:06.187      489.29448570    
05 May 2022 09:56:01.549    05 May 2022 10:04:08.524      486.97526642    
05 May 2022 11:36:09.666    05 May 2022 11:39:49.586      219.91997774    
05 May 2022 18:10:54.102    05 May 2022 18:18:51.360      477.25796064    
05 May 2022 19:49:45.032    05 May 2022 19:54:27.175      282.14347253    
06 May 2022 09:16:59.389    06 May 2022 09:24:56.642      477.25285355    
06 May 2022 10:56:04.842    06 May 2022 11:01:19.736      314.89330055    
06 May 2022 17:31:54.804    06 May 2022 17:39:28.016      453.21195944    
06 May 2022 19:09:53.667    06 May 2022 19:16:11.020      377.35310717    
07 May 2022 08:38:04.798    07 May 2022 08:45:37.636      452.83824390    
07 May 2022 10:16:16.295    07 May 2022 10:22:35.422      379.12702382    
07 May 2022 16:52:59.312    07 May 2022 16:59:55.628      416.31609835    
07 May 2022 18:30:19.349    07 May 2022 18:37:34.080      434.73120636    
08 May 2022 07:59:19.604    08 May 2022 08:06:09.470      409.86617859    
08 May 2022 09:36:37.710    08 May 2022 09:43:42.815      425.10510155    
08 May 2022 16:14:08.694    08 May 2022 16:20:12.929      364.23511103    
08 May 2022 17:50:54.340    08 May 2022 17:58:43.879      469.53938955    
09 May 2022 07:20:47.981    09 May 2022 07:26:27.764      339.78271745    
09 May 2022 08:57:06.924    09 May 2022 09:04:43.910      456.98675949    
09 May 2022 15:35:25.812    09 May 2022 15:40:16.880      291.06866112    
09 May 2022 17:11:35.586    09 May 2022 17:19:43.255      487.66823189    
10 May 2022 06:42:43.606    10 May 2022 06:46:18.638      215.03260798    
10 May 2022 08:17:43.023    10 May 2022 08:25:39.429      476.40572697    
10 May 2022 14:57:01.078    10 May 2022 14:59:56.922      175.84352419    
10 May 2022 16:32:21.566    10 May 2022 16:40:33.506      491.94019058    
11 May 2022 07:38:25.706    11 May 2022 07:46:29.469      483.76294478    
11 May 2022 09:19:03.768    11 May 2022 09:21:46.809      163.04067011    
11 May 2022 15:53:11.493    11 May 2022 16:01:15.196      483.70365686    
11 May 2022 17:32:26.290    11 May 2022 17:36:21.516      235.22611329    
12 May 2022 06:59:15.122    12 May 2022 07:07:13.672      478.54990790    
12 May 2022 08:38:40.702    12 May 2022 08:43:22.306      281.60395907    
12 May 2022 15:14:05.061    12 May 2022 15:21:48.405      463.34372750    
12 May 2022 16:52:18.445    12 May 2022 16:58:10.835      352.39064167    
13 May 2022 06:20:11.925    13 May 2022 06:27:51.167      459.24273133    
13 May 2022 07:58:41.050    13 May 2022 08:04:36.425      355.37551503    
13 May 2022 14:35:02.420    13 May 2022 14:42:12.765      430.34493306    
13 May 2022 16:12:33.743    13 May 2022 16:19:33.468      419.72528606    
14 May 2022 05:41:17.577    14 May 2022 05:48:20.276      422.69945206    
14 May 2022 07:18:53.146    14 May 2022 07:25:40.692      407.54657490    
14 May 2022 13:56:04.354    14 May 2022 14:02:27.278      382.92420481    
14 May 2022 15:33:00.228    14 May 2022 15:40:41.148      460.91988352    
15 May 2022 05:02:35.301    15 May 2022 05:08:37.556      362.25494645    
15 May 2022 06:39:13.815    15 May 2022 06:46:38.106      444.29087526    
15 May 2022 13:17:12.993    15 May 2022 13:22:29.621      316.62787171    
15 May 2022 14:53:33.872    15 May 2022 15:01:37.675      483.80319489    
16 May 2022 04:24:14.164    16 May 2022 04:28:33.725      259.56147560    
16 May 2022 05:59:41.776    16 May 2022 06:07:29.750      467.97337291    
16 May 2022 12:38:35.025    16 May 2022 12:42:12.938      217.91249737    
16 May 2022 14:14:12.768    16 May 2022 14:22:24.725      491.95739905    
17 May 2022 05:20:16.529    17 May 2022 05:28:15.908      479.37910433    
17 May 2022 07:01:37.342    17 May 2022 07:02:56.122      78.780436073    
17 May 2022 13:34:55.923    17 May 2022 13:43:03.053      487.12930150    
17 May 2022 15:14:39.619    17 May 2022 15:17:35.420      175.80051371    
18 May 2022 04:40:58.069    18 May 2022 04:48:56.359      478.29012695    
18 May 2022 06:20:43.784    18 May 2022 06:24:50.003      246.21841908    
18 May 2022 12:55:42.890    18 May 2022 13:03:32.867      469.97703837    
