Spacecraft: HSEYE15

Start Time (UTC)            Stop Time (UTC)               Duration (s)    Occ Body        Type        Event Number  Total Duration (s)
27 Apr 2022 12:18:22.324    27 Apr 2022 12:18:32.332      10.008638946    Earth           Penumbra    1             2044.7862432
27 Apr 2022 12:18:32.332    27 Apr 2022 12:52:17.213      2024.8802703    Earth           Umbra       1             2044.7862432
27 Apr 2022 12:52:17.213    27 Apr 2022 12:52:27.110      9.8973339773    Earth           Penumbra    1             2044.7862432
27 Apr 2022 13:51:52.598    27 Apr 2022 13:52:02.585      9.9874439416    Earth           Penumbra    2             2046.1104106
27 Apr 2022 13:52:02.585    27 Apr 2022 14:25:48.833      2026.2471103    Earth           Umbra       2             2046.1104106
27 Apr 2022 14:25:48.833    27 Apr 2022 14:25:58.708      9.8758563981    Earth           Penumbra    2             2046.1104106
27 Apr 2022 15:25:22.809    27 Apr 2022 15:25:32.775      9.9660694599    Earth           Penumbra    3             2047.4289865
27 Apr 2022 15:25:32.775    27 Apr 2022 15:59:20.384      2027.6088913    Earth           Umbra       3             2047.4289865
27 Apr 2022 15:59:20.384    27 Apr 2022 15:59:30.238      9.8540258361    Earth           Penumbra    3             2047.4289865
27 Apr 2022 16:58:53.015    27 Apr 2022 16:59:02.960      9.9449304049    Earth           Penumbra    4             2048.7588991
27 Apr 2022 16:59:02.960    27 Apr 2022 17:32:51.942      2028.9818058    Earth           Umbra       4             2048.7588991
27 Apr 2022 17:32:51.942    27 Apr 2022 17:33:01.774      9.8321628990    Earth           Penumbra    4             2048.7588991
27 Apr 2022 18:32:23.222    27 Apr 2022 18:32:33.146      9.9240934127    Earth           Penumbra    5             2050.1033484
27 Apr 2022 18:32:33.146    27 Apr 2022 19:06:23.515      2030.3688042    Earth           Umbra       5             2050.1033484
27 Apr 2022 19:06:23.515    27 Apr 2022 19:06:33.325      9.8104508361    Earth           Penumbra    5             2050.1033484
27 Apr 2022 20:05:53.395    27 Apr 2022 20:06:03.298      9.9032099009    Earth           Penumbra    6             2051.4549960
27 Apr 2022 20:06:03.298    27 Apr 2022 20:39:55.061      2031.7630109    Earth           Umbra       6             2051.4549960
27 Apr 2022 20:39:55.061    27 Apr 2022 20:40:04.850      9.7887752345    Earth           Penumbra    6             2051.4549960
27 Apr 2022 21:39:23.528    27 Apr 2022 21:39:33.410      9.8819089704    Earth           Penumbra    7             2052.8041642
27 Apr 2022 21:39:33.410    27 Apr 2022 22:13:26.565      2033.1553275    Earth           Umbra       7             2052.8041642
27 Apr 2022 22:13:26.565    27 Apr 2022 22:13:36.332      9.7669276991    Earth           Penumbra    7             2052.8041642
27 Apr 2022 23:12:53.658    27 Apr 2022 23:13:03.518      9.8601821344    Earth           Penumbra    8             2044.3981006
27 Apr 2022 23:13:03.518    27 Apr 2022 23:46:58.056      2034.5379185    Earth           Umbra       8             2044.3981006
28 Apr 2022 00:46:23.797    28 Apr 2022 00:46:33.636      9.8383591161    Earth           Penumbra    9             2055.4716164
28 Apr 2022 00:46:33.636    28 Apr 2022 01:20:29.546      2035.9106658    Earth           Umbra       9             2055.4716164
28 Apr 2022 01:20:29.546    28 Apr 2022 01:20:39.269      9.7225914127    Earth           Penumbra    9             2055.4716164
28 Apr 2022 02:19:53.902    28 Apr 2022 02:20:03.719      9.8167193471    Earth           Penumbra    10            2056.8003446
28 Apr 2022 02:20:03.719    28 Apr 2022 02:54:01.002      2037.2831149    Earth           Umbra       10            2056.8003446
28 Apr 2022 02:54:01.002    28 Apr 2022 02:54:10.702      9.7005103366    Earth           Penumbra    10            2056.8003446
28 Apr 2022 03:53:23.904    28 Apr 2022 03:53:33.699      9.7952178796    Earth           Penumbra    11            2058.1368629
28 Apr 2022 03:53:33.699    28 Apr 2022 04:27:32.362      2038.6628820    Earth           Umbra       11            2058.1368629
28 Apr 2022 04:27:32.362    28 Apr 2022 04:27:42.041      9.6787630697    Earth           Penumbra    11            2058.1368629
28 Apr 2022 05:26:53.784    28 Apr 2022 05:27:03.557      9.7736947238    Earth           Penumbra    12            2059.4793829
28 Apr 2022 05:27:03.557    28 Apr 2022 06:01:03.606      2040.0484121    Earth           Umbra       12            2059.4793829
28 Apr 2022 06:01:03.606    28 Apr 2022 06:01:13.263      9.6572760609    Earth           Penumbra    12            2059.4793829
28 Apr 2022 07:00:23.602    28 Apr 2022 07:00:33.354      9.7522407188    Earth           Penumbra    13            2060.8276220
28 Apr 2022 07:00:33.354    28 Apr 2022 07:34:34.793      2041.4394715    Earth           Umbra       13            2060.8276220
28 Apr 2022 07:34:34.793    28 Apr 2022 07:34:44.429      9.6359097515    Earth           Penumbra    13            2060.8276220
28 Apr 2022 08:33:53.448    28 Apr 2022 08:34:03.180      9.7311205231    Earth           Penumbra    14            2062.1882639
28 Apr 2022 08:34:03.180    28 Apr 2022 09:08:06.022      2042.8424230    Earth           Umbra       14            2062.1882639
28 Apr 2022 09:08:06.022    28 Apr 2022 09:08:15.637      9.6147204051    Earth           Penumbra    14            2062.1882639
28 Apr 2022 10:07:23.349    28 Apr 2022 10:07:33.059      9.7103357082    Earth           Penumbra    15            2063.5589443
28 Apr 2022 10:07:33.059    28 Apr 2022 10:41:37.314      2044.2548025    Earth           Umbra       15            2063.5589443
28 Apr 2022 10:41:37.314    28 Apr 2022 10:41:46.908      9.5938060898    Earth           Penumbra    15            2063.5589443
28 Apr 2022 11:40:53.236    28 Apr 2022 11:41:02.926      9.6895175753    Earth           Penumbra    16            2064.9202553
28 Apr 2022 11:41:02.926    28 Apr 2022 12:15:08.583      2045.6577294    Earth           Umbra       16            2064.9202553
28 Apr 2022 12:15:08.583    28 Apr 2022 12:15:18.156      9.5730083878    Earth           Penumbra    16            2064.9202553
28 Apr 2022 13:14:23.040    28 Apr 2022 13:14:32.709      9.6683738055    Earth           Penumbra    17            2066.2568589
28 Apr 2022 13:14:32.709    28 Apr 2022 13:48:39.745      2047.0364743    Earth           Umbra       17            2066.2568589
28 Apr 2022 13:48:39.745    28 Apr 2022 13:48:49.297      9.5520107774    Earth           Penumbra    17            2066.2568589
28 Apr 2022 14:47:52.775    28 Apr 2022 14:48:02.422      9.6470672172    Earth           Penumbra    18            2067.5764460
28 Apr 2022 14:48:02.422    28 Apr 2022 15:22:10.821      2048.3986309    Earth           Umbra       18            2067.5764460
28 Apr 2022 15:22:10.821    28 Apr 2022 15:22:20.352      9.5307478798    Earth           Penumbra    18            2067.5764460
28 Apr 2022 16:21:22.502    28 Apr 2022 16:21:32.128      9.6259979415    Earth           Penumbra    19            2068.8974403
28 Apr 2022 16:21:32.128    28 Apr 2022 16:55:41.890      2049.7619816    Earth           Umbra       19            2068.8974403
28 Apr 2022 16:55:41.890    28 Apr 2022 16:55:51.399      9.5094607794    Earth           Penumbra    19            2068.8974403
28 Apr 2022 17:54:52.237    28 Apr 2022 17:55:01.843      9.6053105663    Earth           Penumbra    20            2070.2275267
28 Apr 2022 17:55:01.843    28 Apr 2022 18:29:12.976      2051.1338787    Earth           Umbra       20            2070.2275267
28 Apr 2022 18:29:12.976    28 Apr 2022 18:29:22.465      9.4883374404    Earth           Penumbra    20            2070.2275267
28 Apr 2022 19:28:21.947    28 Apr 2022 19:28:31.532      9.5847328892    Earth           Penumbra    21            2071.5614440
28 Apr 2022 19:28:31.532    28 Apr 2022 20:02:44.041      2052.5093965    Earth           Umbra       21            2071.5614440
28 Apr 2022 20:02:44.041    28 Apr 2022 20:02:53.508      9.4673146843    Earth           Penumbra    21            2071.5614440
28 Apr 2022 21:01:51.616    28 Apr 2022 21:02:01.179      9.5638874103    Earth           Penumbra    22            2072.8895276
28 Apr 2022 21:02:01.179    28 Apr 2022 21:36:15.059      2053.8794007    Earth           Umbra       22            2072.8895276
28 Apr 2022 21:36:15.059    28 Apr 2022 21:36:24.505      9.4462394365    Earth           Penumbra    22            2072.8895276
28 Apr 2022 22:35:21.275    28 Apr 2022 22:35:30.817      9.5426927204    Earth           Penumbra    23            2074.2029628
28 Apr 2022 22:35:30.817    28 Apr 2022 23:09:46.052      2055.2352140    Earth           Umbra       23            2074.2029628
28 Apr 2022 23:09:46.052    28 Apr 2022 23:09:55.477      9.4250560622    Earth           Penumbra    23            2074.2029628
29 Apr 2022 00:08:50.947    29 Apr 2022 00:09:00.468      9.5214257366    Earth           Penumbra    24            2075.5002862
29 Apr 2022 00:09:00.468    29 Apr 2022 00:43:17.043      2056.5750176    Earth           Umbra       24            2075.5002862
29 Apr 2022 00:43:17.043    29 Apr 2022 00:43:26.447      9.4038428273    Earth           Penumbra    24            2075.5002862
29 Apr 2022 01:42:20.599    29 Apr 2022 01:42:30.099      9.5003888360    Earth           Penumbra    25            2067.4085104
29 Apr 2022 01:42:30.099    29 Apr 2022 02:16:48.007      2057.9081215    Earth           Umbra       25            2067.4085104
