Start Time (UTC)            Stop Time (UTC)               Duration (s)         
28 Apr 2022 01:18:40.887    28 Apr 2022 01:21:03.030      142.14270555    
28 Apr 2022 02:57:37.401    28 Apr 2022 02:59:43.842      126.44103396    
29 Apr 2022 00:37:06.929    29 Apr 2022 00:39:11.453      124.52430414    
29 Apr 2022 02:15:47.277    29 Apr 2022 02:18:08.200      140.92215450    
29 Apr 2022 23:55:34.373    29 Apr 2022 23:57:16.293      101.91941330    
30 Apr 2022 01:33:57.404    30 Apr 2022 01:36:30.136      152.73125579    
30 Apr 2022 23:14:05.756    30 Apr 2022 23:15:14.966      69.209741405    
01 May 2022 00:52:07.411    01 May 2022 00:54:49.976      162.56465397    
02 May 2022 00:10:17.102    02 May 2022 00:13:07.868      170.76540159    
02 May 2022 23:28:26.394    02 May 2022 23:31:23.854      177.46002807    
03 May 2022 22:46:35.280    03 May 2022 22:49:37.905      182.62496560    
04 May 2022 22:04:43.817    04 May 2022 22:07:49.940      186.12302046    
05 May 2022 21:22:52.115    05 May 2022 21:25:59.839      187.72331919    
06 May 2022 20:41:00.335    06 May 2022 20:44:07.444      187.10823219    
06 May 2022 22:20:37.089    06 May 2022 22:22:07.645      90.556433669    
07 May 2022 19:59:08.695    07 May 2022 20:02:12.560      183.86511491    
07 May 2022 21:38:24.859    07 May 2022 21:40:33.671      128.81249848    
08 May 2022 19:17:17.482    08 May 2022 19:20:14.936      177.45394061    
08 May 2022 20:56:17.479    08 May 2022 20:58:52.433      154.95323724    
09 May 2022 18:35:27.096    09 May 2022 18:38:14.223      167.12704719    
09 May 2022 20:14:12.351    09 May 2022 20:17:06.559      174.20778950    
10 May 2022 17:53:38.145    10 May 2022 17:56:09.878      151.73308679    
10 May 2022 19:32:08.569    10 May 2022 19:35:17.004      188.43430815    
11 May 2022 17:11:51.718    11 May 2022 17:14:00.882      129.16367812    
11 May 2022 18:50:05.727    11 May 2022 18:53:24.234      198.50724310    
12 May 2022 16:30:10.494    12 May 2022 16:31:44.635      94.140443159    
12 May 2022 18:08:03.626    12 May 2022 18:11:28.521      204.89528932    
13 May 2022 17:26:02.172    13 May 2022 17:29:30.038      207.86614803    
14 May 2022 16:44:01.332    14 May 2022 16:47:28.904      207.57150570    
15 May 2022 16:02:01.113    15 May 2022 16:05:25.193      204.08050830    
15 May 2022 17:42:22.209    15 May 2022 17:42:40.229      18.019224959    
16 May 2022 15:20:01.558    16 May 2022 15:23:18.941      197.38282724    
16 May 2022 16:59:43.159    16 May 2022 17:01:13.432      90.272842243    
17 May 2022 14:38:02.759    17 May 2022 14:41:10.123      187.36432395    
17 May 2022 16:17:24.118    17 May 2022 16:19:24.688      120.56961106    
18 May 2022 13:56:04.885    18 May 2022 13:58:58.628      173.74304021    
18 May 2022 15:35:09.577    18 May 2022 15:37:29.571      139.99331411    
19 May 2022 13:14:08.254    19 May 2022 13:16:44.176      155.92215172    
19 May 2022 14:52:57.248    19 May 2022 14:55:30.427      153.17873312    
20 May 2022 12:32:13.523    20 May 2022 12:34:26.132      132.60979765    
20 May 2022 14:10:46.161    20 May 2022 14:13:28.267      162.10515731    
21 May 2022 11:50:22.348    21 May 2022 11:52:02.845      100.49695603    
21 May 2022 13:28:35.768    21 May 2022 13:31:23.664      167.89585180    
22 May 2022 11:08:42.575    22 May 2022 11:09:26.455      43.879479670    
22 May 2022 12:46:25.706    22 May 2022 12:49:16.990      171.28372004    
23 May 2022 12:04:15.717    23 May 2022 12:07:08.492      172.77557569    
24 May 2022 11:22:05.614    24 May 2022 11:24:58.331      172.71699593    
25 May 2022 10:39:55.275    25 May 2022 10:42:46.592      171.31649056    
26 May 2022 09:57:44.637    26 May 2022 10:00:33.287      168.65008321    
27 May 2022 09:15:33.705    27 May 2022 09:18:18.359      164.65401978    
28 May 2022 08:33:22.563    28 May 2022 08:36:01.669      159.10602759    
28 May 2022 10:12:51.658    28 May 2022 10:14:05.244      73.586495477    
29 May 2022 07:51:11.395    29 May 2022 07:53:42.982      151.58756103    
29 May 2022 09:30:18.179    29 May 2022 09:32:09.020      110.84059335    
30 May 2022 07:09:00.528    30 May 2022 07:11:21.931      141.40344401    
30 May 2022 08:47:49.530    30 May 2022 08:50:05.885      136.35525800    
31 May 2022 06:26:50.530    31 May 2022 06:28:57.919      127.38862865    
31 May 2022 08:05:22.826    31 May 2022 08:07:58.679      155.85306451    
01 Jun 2022 05:44:42.495    01 Jun 2022 05:46:29.838      107.34314136    
01 Jun 2022 07:22:57.130    01 Jun 2022 07:25:48.305      171.17537881    
02 Jun 2022 05:02:39.266    02 Jun 2022 05:03:54.850      75.584220886    
02 Jun 2022 06:40:32.048    02 Jun 2022 06:43:35.143      183.09475221    
03 Jun 2022 05:58:07.419    03 Jun 2022 06:01:19.355      191.93682417    
04 Jun 2022 05:15:43.204    04 Jun 2022 05:19:00.999      197.79493116    
05 Jun 2022 04:33:19.450    05 Jun 2022 04:36:40.070      200.61997367    
06 Jun 2022 03:50:56.259    06 Jun 2022 03:54:16.516      200.25740743    
06 Jun 2022 05:30:48.336    06 Jun 2022 05:31:57.649      69.313292066    
07 Jun 2022 03:08:33.793    07 Jun 2022 03:11:50.244      196.45156563    
07 Jun 2022 04:47:59.654    07 Jun 2022 04:49:57.866      118.21287093    
08 Jun 2022 02:26:12.283    08 Jun 2022 02:29:21.100      188.81682343    
08 Jun 2022 04:05:19.835    08 Jun 2022 04:07:47.150      147.31583461    
09 Jun 2022 01:43:52.070    09 Jun 2022 01:46:48.824      176.75474655    
09 Jun 2022 03:22:43.638    09 Jun 2022 03:25:30.814      167.17582389    
10 Jun 2022 01:01:33.702    10 Jun 2022 01:04:12.950      159.24801818    
10 Jun 2022 02:40:09.583    10 Jun 2022 02:43:10.418      180.83457411    
11 Jun 2022 00:19:18.230    11 Jun 2022 00:21:32.507      134.27692173    
11 Jun 2022 01:57:37.010    11 Jun 2022 02:00:46.704      189.69347484    
11 Jun 2022 23:37:08.380    11 Jun 2022 23:38:44.837      96.457558998    
12 Jun 2022 01:15:05.563    12 Jun 2022 01:18:20.110      194.54725779    
13 Jun 2022 00:32:35.024    13 Jun 2022 00:35:50.928      195.90424978    
13 Jun 2022 23:50:05.254    13 Jun 2022 23:53:19.363      194.10885021    
14 Jun 2022 23:07:36.166    14 Jun 2022 23:10:45.554      189.38779542    
15 Jun 2022 22:25:07.722    15 Jun 2022 22:28:09.578      181.85674658    
16 Jun 2022 21:42:39.941    16 Jun 2022 21:45:31.436      171.49557107    
16 Jun 2022 23:22:13.936    16 Jun 2022 23:23:28.135      74.199387257    
17 Jun 2022 21:00:12.938    17 Jun 2022 21:02:51.020      158.08199215    
17 Jun 2022 22:39:24.730    17 Jun 2022 22:41:09.691      104.96168740    
18 Jun 2022 20:17:46.995    18 Jun 2022 20:20:08.035      141.03928353    
18 Jun 2022 21:56:40.141    18 Jun 2022 21:58:45.080      124.93902887    
19 Jun 2022 19:35:22.767    19 Jun 2022 19:37:21.805      119.03757130    
19 Jun 2022 21:13:57.543    19 Jun 2022 21:16:16.920      139.37706695    
20 Jun 2022 18:53:01.999    20 Jun 2022 18:54:30.549      88.550624542    
20 Jun 2022 20:31:15.925    20 Jun 2022 20:33:46.201      150.27643890    
21 Jun 2022 18:10:54.581    21 Jun 2022 18:11:24.339      29.758457956    
21 Jun 2022 19:48:34.769    21 Jun 2022 19:51:13.410      158.64139271    
22 Jun 2022 19:05:53.787    22 Jun 2022 19:08:38.797      165.01034140    
23 Jun 2022 18:23:12.830    23 Jun 2022 18:26:02.472      169.64213866    
24 Jun 2022 17:40:31.851    24 Jun 2022 17:43:24.447      172.59638045    
25 Jun 2022 16:57:50.884    25 Jun 2022 17:00:44.655      173.77118109    
26 Jun 2022 16:15:10.044    26 Jun 2022 16:18:02.962      172.91773319    
26 Jun 2022 17:55:12.427    26 Jun 2022 17:55:29.777      17.350281822    
27 Jun 2022 15:32:29.528    27 Jun 2022 15:35:19.162      169.63409926    
27 Jun 2022 17:11:51.184    27 Jun 2022 17:13:27.077      95.892636431    
28 Jun 2022 14:49:49.635    28 Jun 2022 14:52:32.963      163.32832854    
28 Jun 2022 16:28:50.635    28 Jun 2022 16:31:01.843      131.20744186    
29 Jun 2022 14:07:10.817    29 Jun 2022 14:09:43.936      153.11889262    
29 Jun 2022 15:45:54.525    29 Jun 2022 15:48:30.326      155.80101446    
30 Jun 2022 13:24:33.808    30 Jun 2022 13:26:51.381      137.57329102    
30 Jun 2022 15:03:00.710    30 Jun 2022 15:05:54.687      173.97714708    
01 Jul 2022 12:42:00.032    01 Jul 2022 12:43:53.924      113.89156629    
01 Jul 2022 14:20:08.414    01 Jul 2022 14:23:15.732      187.31799549    
02 Jul 2022 11:59:33.645    02 Jul 2022 12:00:47.471      73.825952411    
02 Jul 2022 13:37:17.302    02 Jul 2022 13:40:33.841      196.53897181    
03 Jul 2022 12:54:27.235    03 Jul 2022 12:57:49.209      201.97311585    
04 Jul 2022 12:11:38.187    04 Jul 2022 12:15:01.933      203.74583997    
05 Jul 2022 11:28:50.200    05 Jul 2022 11:32:12.042      201.84211079    
05 Jul 2022 13:08:53.023    05 Jul 2022 13:09:38.978      45.954580628    
06 Jul 2022 10:46:03.385    06 Jul 2022 10:49:19.504      196.11893347    
06 Jul 2022 12:25:33.619    06 Jul 2022 12:27:19.187      105.56764619    
07 Jul 2022 10:03:17.931    07 Jul 2022 10:06:24.201      186.27068424    
07 Jul 2022 11:42:27.978    07 Jul 2022 11:44:44.063      136.08430449    
08 Jul 2022 09:20:34.159    08 Jul 2022 09:23:25.881      171.72195758    
08 Jul 2022 10:59:26.975    08 Jul 2022 11:02:02.803      155.82801907    
09 Jul 2022 08:37:52.660    09 Jul 2022 08:40:24.009      151.34865950    
09 Jul 2022 10:16:28.611    09 Jul 2022 10:19:17.470      168.85910315    
10 Jul 2022 07:55:14.724    10 Jul 2022 07:57:17.339      122.61579665    
10 Jul 2022 09:33:32.020    10 Jul 2022 09:36:28.988      176.96838670    
11 Jul 2022 07:12:44.514    11 Jul 2022 07:14:01.733      77.218846651    
11 Jul 2022 08:50:36.719    11 Jul 2022 08:53:37.888      181.16839001    
12 Jul 2022 08:07:42.400    12 Jul 2022 08:10:44.510      182.11060383    
13 Jul 2022 07:24:48.848    13 Jul 2022 07:27:49.085      180.23656356    
14 Jul 2022 06:41:55.921    14 Jul 2022 06:44:51.754      175.83354731    
15 Jul 2022 05:59:03.538    15 Jul 2022 06:01:52.582      169.04406399    
16 Jul 2022 05:16:11.696    16 Jul 2022 05:18:51.538      159.84161912    
16 Jul 2022 06:56:01.017    16 Jul 2022 06:56:28.930      27.913342486    
17 Jul 2022 04:33:20.506    17 Jul 2022 04:35:48.470      147.96431637    
17 Jul 2022 06:12:35.639    17 Jul 2022 06:13:59.972      84.332786640    
18 Jul 2022 03:50:30.264    18 Jul 2022 03:52:43.027      132.76287782    
18 Jul 2022 05:29:23.628    18 Jul 2022 05:31:16.206      112.57808801    
19 Jul 2022 03:07:41.659    19 Jul 2022 03:09:34.462      112.80257822    
19 Jul 2022 04:46:15.030    19 Jul 2022 04:48:27.529      132.49960444    
20 Jul 2022 02:24:56.498    20 Jul 2022 02:26:20.912      84.413841006    
20 Jul 2022 04:03:08.020    20 Jul 2022 04:05:35.711      147.69068202    
21 Jul 2022 01:42:25.057    21 Jul 2022 01:42:52.045      26.987638080    
21 Jul 2022 03:20:01.869    21 Jul 2022 03:22:41.420      159.55072066    
22 Jul 2022 02:36:56.238    22 Jul 2022 02:39:44.942      168.70467486    
23 Jul 2022 01:53:50.982    23 Jul 2022 01:56:46.375      175.39351406    
24 Jul 2022 01:10:46.082    24 Jul 2022 01:13:45.704      179.62224539    
25 Jul 2022 00:27:41.613    25 Jul 2022 00:30:42.835      181.22257964    
25 Jul 2022 23:44:37.733    25 Jul 2022 23:47:37.605      179.87197121    
26 Jul 2022 01:24:11.872    26 Jul 2022 01:25:30.236      78.364631964    
26 Jul 2022 23:01:34.698    26 Jul 2022 23:04:29.773      175.07526304    
27 Jul 2022 00:40:44.115    27 Jul 2022 00:42:47.491      123.37573960    
27 Jul 2022 22:18:32.891    27 Jul 2022 22:21:18.981      166.09024087    
27 Jul 2022 23:57:23.687    27 Jul 2022 23:59:55.561      151.87398260    
28 Jul 2022 21:35:32.928    28 Jul 2022 21:38:04.656      151.72833174    
28 Jul 2022 23:14:06.538    28 Jul 2022 23:16:58.516      171.97828823    
29 Jul 2022 20:52:35.941    29 Jul 2022 20:54:45.717      129.77618203    
29 Jul 2022 22:30:51.441    29 Jul 2022 22:33:57.622      186.18091877    
30 Jul 2022 20:09:44.754    30 Jul 2022 20:11:19.401      94.646181213    
30 Jul 2022 21:47:37.872    30 Jul 2022 21:50:53.451      195.57848680    
31 Jul 2022 21:04:25.589    31 Jul 2022 21:07:46.307      200.71758712    
