Start Time (UTC)            Stop Time (UTC)               Duration (s)         
27 Apr 2022 17:35:15.458    27 Apr 2022 17:38:13.912      178.45460657    
28 Apr 2022 16:53:33.006    28 Apr 2022 16:56:31.380      178.37425283    
29 Apr 2022 16:11:49.955    29 Apr 2022 16:14:47.288      177.33304632    
30 Apr 2022 15:30:06.283    30 Apr 2022 15:33:01.614      175.33049922    
01 May 2022 14:48:22.029    01 May 2022 14:51:14.273      172.24383572    
01 May 2022 16:28:11.509    01 May 2022 16:29:01.550      50.040415500    
02 May 2022 14:06:37.302    02 May 2022 14:09:25.118      167.81630429    
02 May 2022 15:46:00.273    02 May 2022 15:47:39.084      98.810994672    
03 May 2022 13:24:52.291    03 May 2022 13:27:33.925      161.63400592    
03 May 2022 15:03:57.360    03 May 2022 15:06:05.966      128.60527552    
04 May 2022 12:43:07.297    04 May 2022 12:45:40.373      153.07606319    
04 May 2022 14:21:56.985    04 May 2022 14:24:27.944      150.95977639    
05 May 2022 12:01:22.788    05 May 2022 12:03:43.986      141.19842004    
05 May 2022 13:39:57.748    05 May 2022 13:42:46.389      168.64082739    
06 May 2022 11:19:39.554    06 May 2022 11:21:43.982      124.42812086    
06 May 2022 12:57:59.098    06 May 2022 13:01:01.841      182.74261326    
07 May 2022 10:37:59.218    07 May 2022 10:39:38.759      99.541038740    
07 May 2022 12:16:00.792    07 May 2022 12:19:14.545      193.75226079    
08 May 2022 09:56:27.401    08 May 2022 09:57:22.737      55.335893843    
08 May 2022 11:34:02.739    08 May 2022 11:37:24.611      201.87139140    
09 May 2022 10:52:04.935    09 May 2022 10:55:32.081      207.14523374    
10 May 2022 10:10:07.432    10 May 2022 10:13:36.954      209.52174123    
11 May 2022 09:28:10.324    11 May 2022 09:31:39.201      208.87717215    
11 May 2022 11:08:02.126    11 May 2022 11:09:24.676      82.549474295    
12 May 2022 08:46:13.744    12 May 2022 08:49:38.763      205.01919135    
12 May 2022 10:25:42.643    12 May 2022 10:27:47.343      124.69966969    
13 May 2022 08:04:17.874    13 May 2022 08:07:35.540      197.66683200    
13 May 2022 09:43:29.855    13 May 2022 09:46:01.087      151.23193878    
14 May 2022 07:22:22.966    14 May 2022 07:25:29.361      186.39498797    
14 May 2022 09:01:20.079    14 May 2022 09:04:09.669      169.58995439    
15 May 2022 06:40:29.412    15 May 2022 06:43:19.917      170.50559203    
15 May 2022 08:19:12.091    15 May 2022 08:22:14.393      182.30200668    
16 May 2022 05:58:37.894    16 May 2022 06:01:06.598      148.70387652    
16 May 2022 07:37:05.305    16 May 2022 07:40:15.931      190.62663243    
17 May 2022 05:16:49.909    17 May 2022 05:18:47.973      118.06352679    
17 May 2022 06:54:59.377    17 May 2022 06:58:14.702      195.32533614    
18 May 2022 04:35:10.728    18 May 2022 04:36:18.820      68.091836083    
18 May 2022 06:12:54.081    18 May 2022 06:16:11.001      196.91941885    
19 May 2022 05:30:49.254    19 May 2022 05:34:05.047      195.79296053    
20 May 2022 04:48:44.771    20 May 2022 04:51:57.006      192.23502085    
21 May 2022 04:06:40.541    21 May 2022 04:09:46.992      186.45152966    
22 May 2022 03:24:36.509    22 May 2022 03:27:35.066      178.55728216    
22 May 2022 05:04:35.122    22 May 2022 05:05:10.525      35.403559415    
23 May 2022 02:42:32.670    23 May 2022 02:45:21.219      168.54895408    
23 May 2022 04:22:01.363    23 May 2022 04:23:26.424      85.061281419    
24 May 2022 02:00:29.100    24 May 2022 02:03:05.351      156.25064489    
24 May 2022 03:39:38.292    24 May 2022 03:41:29.861      111.56948983    
25 May 2022 01:18:26.007    25 May 2022 01:20:47.211      141.20384459    
25 May 2022 02:57:18.130    25 May 2022 02:59:28.585      130.45497317    
26 May 2022 00:36:23.865    26 May 2022 00:38:26.275      122.41082423    
26 May 2022 02:14:59.175    26 May 2022 02:17:24.254      145.07851743    
26 May 2022 23:54:23.804    26 May 2022 23:56:01.358      97.554037662    
27 May 2022 01:32:40.698    27 May 2022 01:35:17.549      156.85149848    
27 May 2022 23:12:29.692    27 May 2022 23:13:28.540      58.848142507    
28 May 2022 00:50:22.321    28 May 2022 00:53:08.791      166.47085575    
29 May 2022 00:08:03.848    29 May 2022 00:10:58.120      174.27156185    
29 May 2022 23:25:45.199    29 May 2022 23:28:45.565      180.36594170    
30 May 2022 22:43:26.374    30 May 2022 22:46:31.084      184.71026943    
31 May 2022 22:01:07.442    31 May 2022 22:04:14.581      187.13946913    
01 Jun 2022 21:18:48.532    01 Jun 2022 21:21:55.915      187.38289783    
01 Jun 2022 22:58:36.095    01 Jun 2022 22:59:41.469      65.373518248    
02 Jun 2022 20:36:29.837    02 Jun 2022 20:39:34.900      185.06319764    
02 Jun 2022 22:15:51.436    02 Jun 2022 22:17:46.796      115.36036679    
03 Jun 2022 19:54:11.621    03 Jun 2022 19:57:11.293      179.67216434    
03 Jun 2022 21:33:15.276    03 Jun 2022 21:35:41.417      146.14124080    
04 Jun 2022 19:11:54.257    04 Jun 2022 19:14:44.762      170.50435360    
04 Jun 2022 20:50:42.342    04 Jun 2022 20:53:30.624      168.28262738    
05 Jun 2022 18:29:38.307    05 Jun 2022 18:32:14.801      156.49387871    
05 Jun 2022 20:08:11.225    05 Jun 2022 20:11:15.862      184.63711899    
06 Jun 2022 17:47:24.739    06 Jun 2022 17:49:40.509      135.77005951    
06 Jun 2022 19:25:41.347    06 Jun 2022 19:28:57.764      196.41726312    
07 Jun 2022 17:05:15.735    07 Jun 2022 17:06:59.780      104.04478147    
07 Jun 2022 18:43:12.435    07 Jun 2022 18:46:36.667      204.23260181    
08 Jun 2022 16:23:21.860    08 Jun 2022 16:24:02.126      40.266363393    
08 Jun 2022 18:00:44.364    08 Jun 2022 18:04:12.775      208.41115803    
09 Jun 2022 17:18:17.089    09 Jun 2022 17:21:46.214      209.12523174    
10 Jun 2022 16:35:50.618    10 Jun 2022 16:39:17.060      206.44202926    
10 Jun 2022 18:16:05.982    10 Jun 2022 18:16:34.507      28.524575592    
11 Jun 2022 15:53:25.006    11 Jun 2022 15:56:45.340      200.33415591    
11 Jun 2022 17:33:03.439    11 Jun 2022 17:34:39.752      96.313233313    
12 Jun 2022 15:11:00.362    12 Jun 2022 15:14:11.019      190.65699871    
